english,japanese,part_of_speech,grade,unit_id
society,社会,noun,3,1
government,政府,noun,3,1
law,法律,noun,3,1
rule,規則,noun,3,1
system,制度,noun,3,1
policy,政策,noun,3,1
economy,経済,noun,3,1
industry,産業,noun,3,1
education,教育,noun,3,1
community,地域社会,noun,3,1
citizen,市民,noun,3,1
population,人口,noun,3,1
problem,問題,noun,3,1
issue,課題,noun,3,1
solution,解決,noun,3,1
support,支援,noun,3,1
service,公共サービス,noun,3,1
public,公共の,adjective,3,1
private,私的な,adjective,3,1
legal,合法の,adjective,3,1
political,政治の,adjective,3,1
economic,経済の,adjective,3,1
social,社会の,adjective,3,1
responsible,責任がある,adjective,3,1
fair,公平な,adjective,3,1
equal,平等な,adjective,3,1
justice,正義,noun,3,1
right,権利,noun,3,1
freedom,自由,noun,3,1
protect,守る,verb,3,1
respect,尊重する,verb,3,1
improve,改善する,verb,3,1
solve,解決する,verb,3,1
develop,発展させる,verb,3,1
increase,増加させる,verb,3,1
reduce,減少させる,verb,3,1
education,教育,noun,3,2
knowledge,知識,noun,3,2
skill,技能,noun,3,2
ability,能力,noun,3,2
experience,経験,noun,3,2
training,訓練,noun,3,2
study,研究,noun,3,2
research,研究,noun,3,2
information,情報,noun,3,2
data,データ,noun,3,2
fact,事実,noun,3,2
theory,理論,noun,3,2
method,方法,noun,3,2
process,過程,noun,3,2
result,結果,noun,3,2
analyze,分析する,verb,3,2
compare,比較する,verb,3,2
explain,説明する,verb,3,2
describe,描写する,verb,3,2
discuss,議論する,verb,3,2
consider,考慮する,verb,3,2
evaluate,評価する,verb,3,2
judge,判断する,verb,3,2
decide,決定する,verb,3,2
conclude,結論づける,verb,3,2
logical,論理的な,adjective,3,2
scientific,科学的な,adjective,3,2
objective,客観的な,adjective,3,2
subjective,主観的な,adjective,3,2
accurate,正確な,adjective,3,2
incorrect,間違った,adjective,3,2
relationship,関係,noun,3,3
connection,つながり,noun,3,3
communication,コミュニケーション,noun,3,3
interaction,相互作用,noun,3,3
cooperation,協力,noun,3,3
competition,競争,noun,3,3
agreement,合意,noun,3,3
conflict,対立,noun,3,3
discussion,議論,noun,3,3
opinion,意見,noun,3,3
idea,考え,noun,3,3
view,見解,noun,3,3
perspective,視点,noun,3,3
understanding,理解,noun,3,3
trust,信頼,noun,3,3
communicate,伝える,verb,3,3
share,共有する,verb,3,3
cooperate,協力する,verb,3,3
argue,主張する,verb,3,3
agree,同意する,verb,3,3
disagree,反対する,verb,3,3
solve,解決する,verb,3,3
manage,管理する,verb,3,3
lead,導く,verb,3,3
support,支援する,verb,3,3
social,社会的な,adjective,3,3
cultural,文化的な,adjective,3,3
global,世界的な,adjective,3,3
local,地域の,adjective,3,3
modern,現代の,adjective,3,3
traditional,伝統的な,adjective,3,3
health,健康,noun,3,4
disease,病気,noun,3,4
medicine,薬,noun,3,4
treatment,治療,noun,3,4
doctor,医者,noun,3,4
nurse,看護師,noun,3,4
hospital,病院,noun,3,4
patient,患者,noun,3,4
symptom,症状,noun,3,4
cause,原因,noun,3,4
effect,影響,noun,3,4
risk,危険,noun,3,4
safety,安全,noun,3,4
exercise,運動,noun,3,4
diet,食事,noun,3,4
sleep,睡眠,noun,3,4
rest,休息,noun,3,4
prevent,防ぐ,verb,3,4
treat,治療する,verb,3,4
recover,回復する,verb,3,4
improve,改善する,verb,3,4
reduce,減らす,verb,3,4
increase,増やす,verb,3,4
maintain,維持する,verb,3,4
avoid,避ける,verb,3,4
healthy,健康な,adjective,3,4
unhealthy,不健康な,adjective,3,4
safe,安全な,adjective,3,4
dangerous,危険な,adjective,3,4
serious,深刻な,adjective,3,4
minor,軽い,adjective,3,4
