english,japanese,part_of_speech,grade,unit_id
learn,学ぶ,verb,1,6
study,勉強する,verb,1,6
teach,教える,verb,1,6
practice,練習する,verb,1,6
answer,答える,verb,1,6
question,質問する,verb,1,6
understand,理解する,verb,1,6
remember,覚える,verb,1,6
forget,忘れる,verb,1,6
check,確認する,verb,1,6
use,使う,verb,1,6
try,試す,verb,1,6
finish,終える,verb,1,6
start,始める,verb,1,6
open,開く,verb,1,6
close,閉じる,verb,1,6
read,読む,verb,1,6
write,書く,verb,1,6
speak,話す,verb,1,6
listen,聞く,verb,1,6
student,生徒,noun,1,7
teacher,先生,noun,1,7
school,学校,noun,1,7
class,授業,noun,1,7
room,部屋,noun,1,7
desk,机,noun,1,7
chair,椅子,noun,1,7
book,本,noun,1,7
notebook,ノート,noun,1,7
pen,ペン,noun,1,7
pencil,鉛筆,noun,1,7
bag,かばん,noun,1,7
homework,宿題,noun,1,7
test,テスト,noun,1,7
exam,試験,noun,1,7
answer,答え,noun,1,7
question,質問,noun,1,7
lesson,授業,noun,1,7
subject,教科,noun,1,7
math,数学,noun,1,7
english,英語,noun,1,7
science,理科,noun,1,7
history,歴史,noun,1,7
music,音楽,noun,1,7
art,美術,noun,1,7
physical,体育の,adjective,1,7
friend,友達,noun,1,8
family,家族,noun,1,8
father,父,noun,1,8
mother,母,noun,1,8
brother,兄弟,noun,1,8
sister,姉妹,noun,1,8
grandfather,祖父,noun,1,8
grandmother,祖母,noun,1,8
people,人々,noun,1,8
person,人,noun,1,8
man,男性,noun,1,8
woman,女性,noun,1,8
child,子供,noun,1,8
baby,赤ちゃん,noun,1,8
name,名前,noun,1,8
age,年齢,noun,1,8
year,年,noun,1,8
day,日,noun,1,8
time,時間,noun,1,8
morning,朝,noun,1,8
afternoon,午後,noun,1,8
evening,夕方,noun,1,8
night,夜,noun,1,8
today,今日,noun,1,8
tomorrow,明日,noun,1,8
yesterday,昨日,noun,1,8
big,大きい,adjective,1,9
small,小さい,adjective,1,9
long,長い,adjective,1,9
short,短い,adjective,1,9
tall,背が高い,adjective,1,9
low,低い,adjective,1,9
fast,速い,adjective,1,9
slow,遅い,adjective,1,9
new,新しい,adjective,1,9
old,古い,adjective,1,9
good,良い,adjective,1,9
bad,悪い,adjective,1,9
easy,簡単な,adjective,1,9
difficult,難しい,adjective,1,9
happy,幸せな,adjective,1,9
sad,悲しい,adjective,1,9
fun,楽しい,adjective,1,9
interesting,面白い,adjective,1,9
boring,退屈な,adjective,1,9
busy,忙しい,adjective,1,9
free,自由な,adjective,1,9
hot,暑い,adjective,1,10
cold,寒い,adjective,1,10
warm,暖かい,adjective,1,10
cool,涼しい,adjective,1,10
sunny,晴れた,adjective,1,10
rainy,雨の,adjective,1,10
cloudy,曇りの,adjective,1,10
windy,風の強い,adjective,1,10
snowy,雪の,adjective,1,10
weather,天気,noun,1,10
sky,空,noun,1,10
sun,太陽,noun,1,10
moon,月,noun,1,10
star,星,noun,1,10
water,水,noun,1,10
fire,火,noun,1,10
earth,地球,noun,1,10
air,空気,noun,1,10
tree,木,noun,1,10
flower,花,noun,1,10
grass,草,noun,1,10
river,川,noun,1,10
sea,海,noun,1,10
mountain,山,noun,1,10
lake,湖,noun,1,10
food,食べ物,noun,1,11
drink,飲み物,noun,1,11
rice,ご飯,noun,1,11
bread,パン,noun,1,11
meat,肉,noun,1,11
fish,魚,noun,1,11
vegetable,野菜,noun,1,11
fruit,果物,noun,1,11
apple,りんご,noun,1,11
banana,バナナ,noun,1,11
orange,オレンジ,noun,1,11
milk,牛乳,noun,1,11
tea,お茶,noun,1,11
coffee,コーヒー,noun,1,11
water,水,noun,1,11
eat,食べる,verb,1,11
drink,飲む,verb,1,11
cook,料理する,verb,1,11
make,作る,verb,1,11
buy,買う,verb,1,11
