english,japanese,part_of_speech,grade,unit_id
arrange,手配する,verb,2,5
borrow,借りる,verb,2,5
lend,貸す,verb,2,5
invite,招待する,verb,2,5
join,参加する,verb,2,5
enter,入る,verb,2,5
exit,出る,verb,2,5
attend,出席する,verb,2,5
miss,逃す,verb,2,5
reach,到達する,verb,2,5
continue,続ける,verb,2,5
pause,一時停止する,verb,2,5
repeat,繰り返す,verb,2,5
practice,練習する,verb,2,5
imagine,想像する,verb,2,5
guess,推測する,verb,2,5
realize,気づく,verb,2,5
notice,気づく,verb,2,5
recognize,認識する,verb,2,5
remember,覚えている,verb,2,5
forget,忘れる,verb,2,5
prefer,好む,verb,2,5
hate,嫌う,verb,2,5
like,好きである,verb,2,5
love,愛する,verb,2,5
enjoy,楽しむ,verb,2,5
fear,恐れる,verb,2,5
worry,心配する,verb,2,5
care,気にする,verb,2,5
trust,信頼する,verb,2,5
doubt,疑う,verb,2,5
belong,属する,verb,2,5
depend,依存する,verb,2,5
include,含む,verb,2,5
exclude,除く,verb,2,5
contain,含む,verb,2,5
consist,成る,verb,2,5
represent,表す,verb,2,5
express,表現する,verb,2,5
explain,説明する,verb,2,5
describe,説明する,verb,2,5
introduce,紹介する,verb,2,5
suggest,提案する,verb,2,5
recommend,勧める,verb,2,5
advise,助言する,verb,2,5
warn,警告する,verb,2,5
allow,許可する,verb,2,5
permit,許可する,verb,2,5
forbid,禁じる,verb,2,5
refuse,拒否する,verb,2,5
accept,受け入れる,verb,2,5
agree,同意する,verb,2,5
disagree,反対する,verb,2,5
argue,議論する,verb,2,5
discuss,議論する,verb,2,5
compare,比較する,verb,2,5
contrast,対比する,verb,2,5
measure,測る,verb,2,5
weigh,重さを量る,verb,2,5
count,数える,verb,2,5
calculate,計算する,verb,2,5
estimate,見積もる,verb,2,5
analyze,分析する,verb,2,5
evaluate,評価する,verb,2,5
judge,判断する,verb,2,5
decide,決定する,verb,2,5
choose,選ぶ,verb,2,5
select,選択する,verb,2,5
pick,選ぶ,verb,2,5
collect,集める,verb,2,5
gather,集める,verb,2,5
store,保管する,verb,2,5
save,保存する,verb,2,5
load,読み込む,verb,2,5
update,更新する,verb,2,5
upgrade,向上させる,verb,2,5
fix,修正する,verb,2,5
repair,修理する,verb,2,5
replace,交換する,verb,2,5
remove,取り除く,verb,2,5
delete,削除する,verb,2,5
add,追加する,verb,2,5
attach,添付する,verb,2,5
connect,接続する,verb,2,5
link,結びつける,verb,2,5
share,共有する,verb,2,5
send,送る,verb,2,5
receive,受け取る,verb,2,5
deliver,配達する,verb,2,5
return,返す,verb,2,5
exchange,交換する,verb,2,5
transfer,移す,verb,2,5
move,動かす,verb,2,5
carry,運ぶ,verb,2,5
bring,持ってくる,verb,2,5
take,持っていく,verb,2,5
