english,japanese,part_of_speech,grade,unit_id
adaptation,適応,noun,3,11
adjustment,調整,noun,3,11
adoption,採用,noun,3,11
advancement,進歩,noun,3,11
allocation,配分,noun,3,11
analysis,分析,noun,3,11
application,応用,noun,3,11
assessment,評価,noun,3,11
assumption,仮定,noun,3,11
availability,利用可能性,noun,3,11
awareness,認識,noun,3,11
behavior,行動,noun,3,11
capability,能力,noun,3,11
comparison,比較,noun,3,11
competition,競争,noun,3,11
complexity,複雑さ,noun,3,11
concentration,集中,noun,3,11
conclusion,結論,noun,3,11
connection,関連,noun,3,11
consistency,一貫性,noun,3,11
construction,構築,noun,3,11
consumption,消費,noun,3,11
contribution,貢献,noun,3,11
conversion,変換,noun,3,11
cooperation,協力,noun,3,11
creation,創造,noun,3,11
definition,定義,noun,3,11
description,説明,noun,3,11
development,発展,noun,3,11
difference,違い,noun,3,11
distribution,分配,noun,3,11
education,教育,noun,3,11
efficiency,効率,noun,3,11
effectiveness,効果,noun,3,11
emphasis,強調,noun,3,11
employment,雇用,noun,3,11
enhancement,向上,noun,3,11
evaluation,評価,noun,3,11
evidence,証拠,noun,3,11
expansion,拡張,noun,3,11
experience,経験,noun,3,11
explanation,説明,noun,3,11
exploration,探求,noun,3,11
expression,表現,noun,3,11
foundation,基盤,noun,3,11
functionality,機能性,noun,3,11
generation,生成,noun,3,11
identification,特定,noun,3,11
improvement,改善,noun,3,11
implementation,実行,noun,3,11
importance,重要性,noun,3,11
impression,印象,noun,3,11
indication,指標,noun,3,11
influence,影響,noun,3,11
information,情報,noun,3,11
integration,統合,noun,3,11
interaction,相互作用,noun,3,11
interpretation,解釈,noun,3,11
investment,投資,noun,3,11
management,管理,noun,3,11
measurement,測定,noun,3,11
motivation,動機,noun,3,11
observation,観察,noun,3,11
operation,運用,noun,3,11
optimization,最適化,noun,3,11
organization,組織,noun,3,11
performance,成果,noun,3,11
prediction,予測,noun,3,11
preparation,準備,noun,3,11
presentation,提示,noun,3,11
production,生産,noun,3,11
protection,保護,noun,3,11
recognition,認識,noun,3,11
reduction,削減,noun,3,11
reflection,反映,noun,3,11
regulation,規制,noun,3,11
relationship,関係,noun,3,11
replacement,置換,noun,3,11
representation,表現,noun,3,11
requirement,要件,noun,3,11
response,応答,noun,3,11
retention,保持,noun,3,11
selection,選択,noun,3,11
solution,解決,noun,3,11
strategy,戦略,noun,3,11
structure,構造,noun,3,11
success,成功,noun,3,11
support,支援,noun,3,11
transformation,変換,noun,3,11
understanding,理解,noun,3,11
utilization,活用,noun,3,11
validation,検証,noun,3,11
variation,変化,noun,3,11
visibility,可視性,noun,3,11
analysis-based,分析に基づく,adjective,3,11
data-driven,データ主導の,adjective,3,11
evidence-based,根拠に基づく,adjective,3,11
goal-oriented,目標志向の,adjective,3,11
high-level,高水準の,adjective,3,11
long-term,長期的な,adjective,3,11
short-term,短期的な,adjective,3,11
well-known,よく知られた,adjective,3,11
