english,japanese,part_of_speech,grade,unit_id
abstract,抽象的な,adjective,3,10
accurate,正確な,adjective,3,10
achievable,達成可能な,adjective,3,10
additional,追加の,adjective,3,10
advanced,高度な,adjective,3,10
alternative,代替の,adjective,3,10
annual,毎年の,adjective,3,10
apparent,明らかな,adjective,3,10
appropriate,適切な,adjective,3,10
approximate,おおよその,adjective,3,10
available,利用可能な,adjective,3,10
aware,気づいている,adjective,3,10
basic,基本的な,adjective,3,10
brief,簡潔な,adjective,3,10
broad,広い,adjective,3,10
capable,能力のある,adjective,3,10
certain,確かな,adjective,3,10
clear,明確な,adjective,3,10
common,一般的な,adjective,3,10
complex,複雑な,adjective,3,10
consistent,一貫した,adjective,3,10
constant,一定の,adjective,3,10
current,現在の,adjective,3,10
detailed,詳細な,adjective,3,10
different,異なる,adjective,3,10
direct,直接の,adjective,3,10
effective,効果的な,adjective,3,10
efficient,効率的な,adjective,3,10
entire,全体の,adjective,3,10
equal,等しい,adjective,3,10
essential,不可欠な,adjective,3,10
exact,正確な,adjective,3,10
existing,既存の,adjective,3,10
external,外部の,adjective,3,10
final,最終の,adjective,3,10
financial,財政の,adjective,3,10
flexible,柔軟な,adjective,3,10
general,一般的な,adjective,3,10
global,世界の,adjective,3,10
ideal,理想的な,adjective,3,10
immediate,即時の,adjective,3,10
independent,独立した,adjective,3,10
individual,個々の,adjective,3,10
internal,内部の,adjective,3,10
international,国際的な,adjective,3,10
large-scale,大規模な,adjective,3,10
legal,法的な,adjective,3,10
limited,限られた,adjective,3,10
major,主要な,adjective,3,10
minor,小さな,adjective,3,10
modern,現代の,adjective,3,10
necessary,必要な,adjective,3,10
negative,否定的な,adjective,3,10
neutral,中立の,adjective,3,10
obvious,明らかな,adjective,3,10
official,公式の,adjective,3,10
overall,全体の,adjective,3,10
positive,前向きな,adjective,3,10
potential,潜在的な,adjective,3,10
primary,主要な,adjective,3,10
private,私的な,adjective,3,10
probable,可能性の高い,adjective,3,10
public,公共の,adjective,3,10
relevant,関連する,adjective,3,10
reliable,信頼できる,adjective,3,10
significant,重要な,adjective,3,10
similar,似ている,adjective,3,10
specific,特定の,adjective,3,10
standard,標準の,adjective,3,10
sufficient,十分な,adjective,3,10
suitable,適した,adjective,3,10
typical,典型的な,adjective,3,10
unique,独特な,adjective,3,10
useful,役に立つ,adjective,3,10
various,様々な,adjective,3,10
visible,目に見える,adjective,3,10
wide,広い,adjective,3,10
affect,影響,noun,3,10
approach,方法,noun,3,10
area,分野,noun,3,10
assessment,評価,noun,3,10
basis,基礎,noun,3,10
benefit,利益,noun,3,10
concept,概念,noun,3,10
condition,条件,noun,3,10
contribution,貢献,noun,3,10
data,データ,noun,3,10
difference,違い,noun,3,10
effect,影響,noun,3,10
environment,環境,noun,3,10
evidence,証拠,noun,3,10
factor,要因,noun,3,10
feature,特徴,noun,3,10
focus,焦点,noun,3,10
function,機能,noun,3,10
impact,影響,noun,3,10
issue,問題,noun,3,10
method,方法,noun,3,10
model,モデル,noun,3,10
objective,目的,noun,3,10
option,選択肢,noun,3,10
pattern,傾向,noun,3,10
policy,方針,noun,3,10
process,過程,noun,3,10
range,範囲,noun,3,10
result,結果,noun,3,10
role,役割,noun,3,10
source,源,noun,3,10
structure,構造,noun,3,10
system,体系,noun,3,10
trend,傾向,noun,3,10
value,価値,noun,3,10
