english,japanese,part_of_speech,grade,unit_id
opportunity,機会,noun,3,7
chance,機会,noun,3,7
risk,危険,noun,3,7
benefit,利益,noun,3,7
advantage,利点,noun,3,7
disadvantage,欠点,noun,3,7
value,価値,noun,3,7
importance,重要性,noun,3,7
role,役割,noun,3,7
responsibility,責任,noun,3,7
duty,義務,noun,3,7
task,課題,noun,3,7
job,仕事,noun,3,7
work,作業,noun,3,7
effort,努力,noun,3,7
ability,能力,noun,3,7
skill,技能,noun,3,7
knowledge,知識,noun,3,7
experience,経験,noun,3,7
training,訓練,noun,3,7
education,教育,noun,3,7
background,背景,noun,3,7
situation,状況,noun,3,7
condition,状態,noun,3,7
environment,環境,noun,3,7
factor,要因,noun,3,7
element,要素,noun,3,7
feature,特徴,noun,3,7
characteristic,特性,noun,3,7
quality,質,noun,3,7
quantity,量,noun,3,7
level,レベル,noun,3,7
degree,程度,noun,3,7
amount,量,noun,3,7
number,数,noun,3,7
rate,割合,noun,3,7
percentage,割合,noun,3,7
average,平均,noun,3,7
total,合計,noun,3,7
sum,合計,noun,3,7
improve,改善する,verb,3,7
increase,増やす,verb,3,7
reduce,減らす,verb,3,7
develop,発展させる,verb,3,7
expand,拡大する,verb,3,7
grow,成長する,verb,3,7
achieve,達成する,verb,3,7
succeed,成功する,verb,3,7
fail,失敗する,verb,3,7
try,試す,verb,3,7
challenge,挑戦する,verb,3,7
attempt,試みる,verb,3,7
manage,管理する,verb,3,7
control,制御する,verb,3,7
handle,扱う,verb,3,7
deal,対処する,verb,3,7
solve,解決する,verb,3,7
fix,修正する,verb,3,7
improve,向上させる,verb,3,7
change,変える,verb,3,7
positive,前向きな,adjective,3,7
negative,否定的な,adjective,3,7
effective,効果的な,adjective,3,7
efficient,効率的な,adjective,3,7
useful,役に立つ,adjective,3,7
helpful,有益な,adjective,3,7
important,重要な,adjective,3,7
essential,不可欠な,adjective,3,7
necessary,必要な,adjective,3,7
possible,可能な,adjective,3,7
impossible,不可能な,adjective,3,7
likely,ありそうな,adjective,3,7
unlikely,ありそうにない,adjective,3,7
certain,確かな,adjective,3,7
uncertain,不確かな,adjective,3,7
general,一般的な,adjective,3,7
specific,特定の,adjective,3,7
common,一般的な,adjective,3,7
rare,珍しい,adjective,3,7
usual,普通の,adjective,3,7
special,特別な,adjective,3,7
final,最終的な,adjective,3,7
main,主な,adjective,3,7
major,主要な,adjective,3,7
minor,小さな,adjective,3,7
early,早い,adjective,3,7
late,遅い,adjective,3,7
quick,速い,adjective,3,7
slow,遅い,adjective,3,7
strong,強い,adjective,3,7
weak,弱い,adjective,3,7
high,高い,adjective,3,7
low,低い,adjective,3,7
deep,深い,adjective,3,7
shallow,浅い,adjective,3,7
wide,広い,adjective,3,7
narrow,狭い,adjective,3,7
thick,厚い,adjective,3,7
thin,薄い,adjective,3,7
heavy,重い,adjective,3,7
light,軽い,adjective,3,7
hard,難しい,adjective,3,7
easy,簡単な,adjective,3,7
simple,単純な,adjective,3,7
complex,複雑な,adjective,3,7
clear,明確な,adjective,3,7
vague,曖昧な,adjective,3,7
correct,正しい,adjective,3,7
incorrect,誤った,adjective,3,7
true,真実の,adjective,3,7
false,誤りの,adjective,3,7
right,正しい,adjective,3,7
wrong,間違った,adjective,3,7
complete,完全な,adjective,3,7
incomplete,不完全な,adjective,3,7
