english,japanese,part_of_speech,grade,unit_id
although,〜だけれども,conjunction,3,7
though,〜だけれども,conjunction,3,7
because,なぜなら,conjunction,3,7
since,〜なので,conjunction,3,7
if,もし〜なら,conjunction,3,7
unless,〜でない限り,conjunction,3,7
while,〜している間に,conjunction,3,7
whereas,一方で,conjunction,3,7
therefore,したがって,adverb,3,7
thus,このように,adverb,3,7
however,しかしながら,adverb,3,7
moreover,さらに,adverb,3,7
furthermore,さらに,adverb,3,7
besides,その上,adverb,3,7
otherwise,さもなければ,adverb,3,7
instead,代わりに,adverb,3,7
meanwhile,その間に,adverb,3,7
eventually,最終的に,adverb,3,7
finally,ついに,adverb,3,7
recently,最近,adverb,3,7
currently,現在,adverb,3,7
previously,以前に,adverb,3,7
initially,最初は,adverb,3,7
gradually,徐々に,adverb,3,7
suddenly,突然に,adverb,3,7
immediately,すぐに,adverb,3,7
quickly,速く,adverb,3,7
slowly,ゆっくりと,adverb,3,7
carefully,注意深く,adverb,3,7
easily,簡単に,adverb,3,7
hardly,ほとんど〜ない,adverb,3,7
nearly,ほとんど,adverb,3,7
almost,ほぼ,adverb,3,7
completely,完全に,adverb,3,7
partly,部分的に,adverb,3,7
mainly,主に,adverb,3,7
mostly,ほとんど,adverb,3,7
especially,特に,adverb,3,7
generally,一般的に,adverb,3,7
normally,通常,adverb,3,7
usually,普段は,adverb,3,7
sometimes,時々,adverb,3,7
rarely,めったに〜ない,adverb,3,7
never,決して〜ない,adverb,3,7
always,常に,adverb,3,7
often,よく,adverb,3,7
frequently,頻繁に,adverb,3,7
likely,ありそうな,adjective,3,7
unlikely,ありそうにない,adjective,3,7
possible,可能な,adjective,3,7
impossible,不可能な,adjective,3,7
certain,確かな,adjective,3,7
uncertain,不確かな,adjective,3,7
clear,明確な,adjective,3,7
obvious,明らかな,adjective,3,7
important,重要な,adjective,3,7
significant,重要な,adjective,3,7
essential,不可欠な,adjective,3,7
necessary,必要な,adjective,3,7
useful,役に立つ,adjective,3,7
helpful,有益な,adjective,3,7
effective,効果的な,adjective,3,7
efficient,効率的な,adjective,3,7
practical,実用的な,adjective,3,7
common,一般的な,adjective,3,7
general,一般的な,adjective,3,7
specific,特定の,adjective,3,7
particular,特定の,adjective,3,7
main,主な,adjective,3,7
major,主要な,adjective,3,7
minor,小さな,adjective,3,7
recent,最近の,adjective,3,7
current,現在の,adjective,3,7
future,未来の,adjective,3,7
past,過去の,adjective,3,7
global,世界的な,adjective,3,7
local,地域の,adjective,3,7
social,社会の,adjective,3,7
cultural,文化の,adjective,3,7
economic,経済の,adjective,3,7
political,政治の,adjective,3,7
environmental,環境の,adjective,3,7
natural,自然の,adjective,3,7
human,人間の,adjective,3,7
individual,個人の,adjective,3,7
public,公共の,adjective,3,7
private,私的な,adjective,3,7
available,利用可能な,adjective,3,7
accessible,アクセス可能な,adjective,3,7
responsible,責任がある,adjective,3,7
reliable,信頼できる,adjective,3,7
important,重要な,adjective,3,7
valuable,価値ある,adjective,3,7
