english,japanese,part_of_speech,grade,unit_id
travel,旅行する,verb,2,1
visit,訪れる,verb,2,1
arrive,到着する,verb,2,1
leave,出発する,verb,2,1
stay,滞在する,verb,2,1
plan,計画する,verb,2,1
decide,決める,verb,2,1
hope,望む,verb,2,1
wish,願う,verb,2,1
dream,夢を見る,verb,2,1
experience,経験する,verb,2,1
enjoy,楽しむ,verb,2,1
choose,選ぶ,verb,2,1
book,予約する,verb,2,1
guide,案内する,verb,2,1
trip,旅行,noun,2,1
journey,旅,noun,2,1
tour,観光,noun,2,1
hotel,ホテル,noun,2,1
station,駅,noun,2,1
airport,空港,noun,2,1
ticket,チケット,noun,2,1
map,地図,noun,2,1
country,国,noun,2,1
city,都市,noun,2,1
place,場所,noun,2,1
area,地域,noun,2,1
world,世界,noun,2,1
culture,文化,noun,2,1
language,言語,noun,2,1
history,歴史,noun,2,1
tradition,伝統,noun,2,1
foreign,外国の,adjective,2,1
local,地元の,adjective,2,1
famous,有名な,adjective,2,1
popular,人気のある,adjective,2,1
beautiful,美しい,adjective,2,1
interesting,興味深い,adjective,2,1
crowded,混雑した,adjective,2,1
quiet,静かな,adjective,2,1
dangerous,危険な,adjective,2,1
safe,安全な,adjective,2,1
environment,環境,noun,2,2
nature,自然,noun,2,2
animal,動物,noun,2,2
plant,植物,noun,2,2
forest,森林,noun,2,2
desert,砂漠,noun,2,2
ocean,海洋,noun,2,2
island,島,noun,2,2
climate,気候,noun,2,2
temperature,気温,noun,2,2
pollution,汚染,noun,2,2
energy,エネルギー,noun,2,2
resource,資源,noun,2,2
protect,守る,verb,2,2
save,救う,verb,2,2
reduce,減らす,verb,2,2
reuse,再利用する,verb,2,2
recycle,リサイクルする,verb,2,2
increase,増やす,verb,2,2
decrease,減る,verb,2,2
improve,改善する,verb,2,2
develop,発展する,verb,2,2
destroy,破壊する,verb,2,2
pollute,汚染する,verb,2,2
clean,きれいにする,verb,2,2
global,地球規模の,adjective,2,2
natural,自然の,adjective,2,2
human,人間の,adjective,2,2
social,社会の,adjective,2,2
international,国際的な,adjective,2,2
important,重要な,adjective,2,2
necessary,必要な,adjective,2,2
possible,可能な,adjective,2,2
impossible,不可能な,adjective,2,2
technology,技術,noun,2,3
computer,コンピュータ,noun,2,3
internet,インターネット,noun,2,3
website,ウェブサイト,noun,2,3
information,情報,noun,2,3
data,データ,noun,2,3
system,システム,noun,2,3
software,ソフトウェア,noun,2,3
program,プログラム,noun,2,3
application,アプリ,noun,2,3
network,ネットワーク,noun,2,3
device,機器,noun,2,3
machine,機械,noun,2,3
robot,ロボット,noun,2,3
AI,人工知能,noun,2,3
develop,開発する,verb,2,3
create,作る,verb,2,3
design,設計する,verb,2,3
build,構築する,verb,2,3
connect,接続する,verb,2,3
share,共有する,verb,2,3
download,ダウンロードする,verb,2,3
upload,アップロードする,verb,2,3
search,検索する,verb,2,3
click,クリックする,verb,2,3
open,開く,verb,2,3
close,閉じる,verb,2,3
log,記録する,verb,2,3
digital,デジタルの,adjective,2,3
online,オンラインの,adjective,2,3
modern,現代の,adjective,2,3
advanced,進んだ,adjective,2,3
fast,高速な,adjective,2,3
efficient,効率的な,adjective,2,3
business,ビジネス,noun,2,4
company,会社,noun,2,4
office,オフィス,noun,2,4
job,仕事,noun,2,4
work,仕事,noun,2,4
career,職業,noun,2,4
salary,給料,noun,2,4
money,お金,noun,2,4
price,価格,noun,2,4
cost,費用,noun,2,4
service,サービス,noun,2,4
product,製品,noun,2,4
market,市場,noun,2,4
customer,顧客,noun,2,4
client,依頼者,noun,2,4
sell,売る,verb,2,4
buy,買う,verb,2,4
pay,支払う,verb,2,4
earn,稼ぐ,verb,2,4
spend,使う,verb,2,4
save,貯める,verb,2,4
invest,投資する,verb,2,4
manage,管理する,verb,2,4
lead,率いる,verb,2,4
hire,雇う,verb,2,4
fire,解雇する,verb,2,4
work,働く,verb,2,4
run,経営する,verb,2,4
grow,成長する,verb,2,4
professional,専門の,adjective,2,4
economic,経済の,adjective,2,4
financial,財務の,adjective,2,4
successful,成功した,adjective,2,4
rich,裕福な,adjective,2,4
poor,貧しい,adjective,2,4
