english,japanese,part_of_speech,grade,unit_id
society,社会,noun,3,6
government,政府,noun,3,6
policy,政策,noun,3,6
economy,経済,noun,3,6
industry,産業,noun,3,6
education,教育,noun,3,6
community,地域社会,noun,3,6
citizen,市民,noun,3,6
population,人口,noun,3,6
issue,問題,noun,3,6
solution,解決,noun,3,6
effort,努力,noun,3,6
activity,活動,noun,3,6
action,行動,noun,3,6
impact,影響,noun,3,6
effect,結果,noun,3,6
result,結果,noun,3,6
progress,進歩,noun,3,6
growth,成長,noun,3,6
development,発展,noun,3,6
trend,傾向,noun,3,6
increase,増加,noun,3,6
decrease,減少,noun,3,6
improvement,改善,noun,3,6
reduction,削減,noun,3,6
achievement,達成,noun,3,6
success,成功,noun,3,6
failure,失敗,noun,3,6
goal,目標,noun,3,6
purpose,目的,noun,3,6
strategy,戦略,noun,3,6
method,方法,noun,3,6
approach,方法,noun,3,6
process,過程,noun,3,6
factor,要因,noun,3,6
element,要素,noun,3,6
feature,特徴,noun,3,6
characteristic,特性,noun,3,6
quality,質,noun,3,6
quantity,量,noun,3,6
level,水準,noun,3,6
degree,程度,noun,3,6
amount,量,noun,3,6
number,数,noun,3,6
rate,割合,noun,3,6
average,平均,noun,3,6
total,合計,noun,3,6
value,価値,noun,3,6
importance,重要性,noun,3,6
role,役割,noun,3,6
responsibility,責任,noun,3,6
duty,義務,noun,3,6
task,課題,noun,3,6
benefit,利益,noun,3,6
advantage,利点,noun,3,6
disadvantage,欠点,noun,3,6
risk,危険,noun,3,6
opportunity,機会,noun,3,6
chance,機会,noun,3,6
condition,状態,noun,3,6
situation,状況,noun,3,6
case,場合,noun,3,6
example,例,noun,3,6
instance,事例,noun,3,6
fact,事実,noun,3,6
evidence,証拠,noun,3,6
reason,理由,noun,3,6
cause,原因,noun,3,6
effect,影響,noun,3,6
purpose,目的,noun,3,6
aim,目的,noun,3,6
outcome,結果,noun,3,6
difference,違い,noun,3,6
similarity,類似,noun,3,6
comparison,比較,noun,3,6
contrast,対比,noun,3,6
relationship,関係,noun,3,6
influence,影響,noun,3,6
impact,影響,noun,3,6
result,結果,noun,3,6
explain,説明する,verb,3,6
describe,説明する,verb,3,6
compare,比較する,verb,3,6
contrast,対比する,verb,3,6
analyze,分析する,verb,3,6
evaluate,評価する,verb,3,6
judge,判断する,verb,3,6
decide,決める,verb,3,6
consider,考える,verb,3,6
suggest,提案する,verb,3,6
recommend,勧める,verb,3,6
propose,提案する,verb,3,6
argue,主張する,verb,3,6
claim,主張する,verb,3,6
prove,証明する,verb,3,6
demonstrate,実証する,verb,3,6
indicate,示す,verb,3,6
refer,言及する,verb,3,6
define,定義する,verb,3,6
identify,特定する,verb,3,6
classify,分類する,verb,3,6
organize,整理する,verb,3,6
summarize,要約する,verb,3,6
conclude,結論づける,verb,3,6
