english,japanese,part_of_speech,grade,unit_id
adapt,適応する,verb,3,9
adjust,調整する,verb,3,9
adopt,採用する,verb,3,9
affect,影響を与える,verb,3,9
aim,目指す,verb,3,9
alter,変える,verb,3,9
anticipate,予期する,verb,3,9
assess,評価する,verb,3,9
attach,付ける,verb,3,9
balance,バランスを取る,verb,3,9
benefit,利益をもたらす,verb,3,9
capture,捉える,verb,3,9
challenge,挑戦する,verb,3,9
compete,競争する,verb,3,9
complete,完了する,verb,3,9
concentrate,集中する,verb,3,9
contribute,貢献する,verb,3,9
convert,変換する,verb,3,9
cooperate,協力する,verb,3,9
cope,対処する,verb,3,9
create,創造する,verb,3,9
decline,減少する,verb,3,9
define,定義する,verb,3,9
deliver,届ける,verb,3,9
demand,要求する,verb,3,9
derive,引き出す,verb,3,9
design,設計する,verb,3,9
detect,検出する,verb,3,9
determine,決定する,verb,3,9
distribute,配布する,verb,3,9
emphasize,強調する,verb,3,9
enable,可能にする,verb,3,9
encourage,促す,verb,3,9
engage,関与する,verb,3,9
enhance,強化する,verb,3,9
ensure,確実にする,verb,3,9
establish,確立する,verb,3,9
evaluate,評価する,verb,3,9
evolve,進化する,verb,3,9
expand,拡張する,verb,3,9
exploit,活用する,verb,3,9
extend,拡張する,verb,3,9
facilitate,促進する,verb,3,9
focus,集中する,verb,3,9
generate,生み出す,verb,3,9
implement,実行する,verb,3,9
imply,暗示する,verb,3,9
improve,向上させる,verb,3,9
include,含む,verb,3,9
indicate,示す,verb,3,9
influence,影響を与える,verb,3,9
initiate,開始する,verb,3,9
integrate,統合する,verb,3,9
maintain,維持する,verb,3,9
maximize,最大化する,verb,3,9
minimize,最小化する,verb,3,9
monitor,監視する,verb,3,9
motivate,動機づける,verb,3,9
optimize,最適化する,verb,3,9
participate,参加する,verb,3,9
perceive,認識する,verb,3,9
perform,実行する,verb,3,9
predict,予測する,verb,3,9
promote,促進する,verb,3,9
propose,提案する,verb,3,9
protect,保護する,verb,3,9
react,反応する,verb,3,9
recognize,認識する,verb,3,9
recommend,推奨する,verb,3,9
reduce,削減する,verb,3,9
reflect,反映する,verb,3,9
regulate,規制する,verb,3,9
reinforce,強化する,verb,3,9
replace,置き換える,verb,3,9
respond,応答する,verb,3,9
retain,保持する,verb,3,9
satisfy,満たす,verb,3,9
secure,確保する,verb,3,9
select,選択する,verb,3,9
shift,移行する,verb,3,9
stimulate,刺激する,verb,3,9
strengthen,強化する,verb,3,9
transform,変換する,verb,3,9
utilize,活用する,verb,3,9
valid,妥当な,adjective,3,9
relevant,関連のある,adjective,3,9
appropriate,適切な,adjective,3,9
adequate,十分な,adjective,3,9
efficient,効率的な,adjective,3,9
effective,効果的な,adjective,3,9
significant,重要な,adjective,3,9
essential,不可欠な,adjective,3,9
crucial,極めて重要な,adjective,3,9
critical,重大な,adjective,3,9
complex,複雑な,adjective,3,9
simple,単純な,adjective,3,9
flexible,柔軟な,adjective,3,9
stable,安定した,adjective,3,9
dynamic,動的な,adjective,3,9
sustainable,持続可能な,adjective,3,9
innovative,革新的な,adjective,3,9
creative,創造的な,adjective,3,9
competitive,競争力のある,adjective,3,9
global,世界的な,adjective,3,9
local,地域の,adjective,3,9
economic,経済の,adjective,3,9
social,社会の,adjective,3,9
cultural,文化の,adjective,3,9
environmental,環境の,adjective,3,9
