english,japanese,part_of_speech,grade,unit_id
environmental,環境の,adjective,3,5
issue,問題,noun,3,5
challenge,課題,noun,3,5
solution,解決策,noun,3,5
effort,努力,noun,3,5
activity,活動,noun,3,5
action,行動,noun,3,5
impact,影響,noun,3,5
effect,効果,noun,3,5
result,結果,noun,3,5
change,変化,noun,3,5
progress,進歩,noun,3,5
growth,成長,noun,3,5
development,発展,noun,3,5
movement,動き,noun,3,5
trend,傾向,noun,3,5
increase,増加,noun,3,5
decrease,減少,noun,3,5
improvement,改善,noun,3,5
reduction,削減,noun,3,5
achievement,達成,noun,3,5
success,成功,noun,3,5
failure,失敗,noun,3,5
goal,目標,noun,3,5
purpose,目的,noun,3,5
plan,計画,noun,3,5
strategy,戦略,noun,3,5
method,方法,noun,3,5
approach,アプローチ,noun,3,5
process,過程,noun,3,5
apply,適用する,verb,3,5
develop,開発する,verb,3,5
improve,改善する,verb,3,5
increase,増やす,verb,3,5
reduce,減らす,verb,3,5
solve,解決する,verb,3,5
achieve,達成する,verb,3,5
succeed,成功する,verb,3,5
fail,失敗する,verb,3,5
manage,管理する,verb,3,5
control,制御する,verb,3,5
support,支援する,verb,3,5
provide,提供する,verb,3,5
offer,提供する,verb,3,5
create,作る,verb,3,5
build,築く,verb,3,5
establish,設立する,verb,3,5
maintain,維持する,verb,3,5
expand,拡大する,verb,3,5
improve,向上させる,verb,3,5
modern,現代的な,adjective,3,5
effective,効果的な,adjective,3,5
efficient,効率的な,adjective,3,5
practical,実用的な,adjective,3,5
useful,役に立つ,adjective,3,5
important,重要な,adjective,3,5
necessary,必要な,adjective,3,5
essential,不可欠な,adjective,3,5
common,一般的な,adjective,3,5
general,一般的な,adjective,3,5
specific,特定の,adjective,3,5
particular,特定の,adjective,3,5
main,主な,adjective,3,5
major,主要な,adjective,3,5
minor,小さな,adjective,3,5
recent,最近の,adjective,3,5
current,現在の,adjective,3,5
future,未来の,adjective,3,5
past,過去の,adjective,3,5
situation,状況,noun,3,6
condition,状態,noun,3,6
case,場合,noun,3,6
example,例,noun,3,6
instance,事例,noun,3,6
fact,事実,noun,3,6
evidence,証拠,noun,3,6
reason,理由,noun,3,6
cause,原因,noun,3,6
effect,結果,noun,3,6
purpose,目的,noun,3,6
goal,目標,noun,3,6
aim,目的,noun,3,6
result,結果,noun,3,6
outcome,成果,noun,3,6
difference,違い,noun,3,6
similarity,類似,noun,3,6
comparison,比較,noun,3,6
contrast,対比,noun,3,6
relationship,関係,noun,3,6
influence,影響,noun,3,6
impact,影響,noun,3,6
effect,効果,noun,3,6
result,結果,noun,3,6
explain,説明する,verb,3,6
describe,説明する,verb,3,6
compare,比較する,verb,3,6
contrast,対比する,verb,3,6
analyze,分析する,verb,3,6
evaluate,評価する,verb,3,6
judge,判断する,verb,3,6
decide,決める,verb,3,6
consider,考える,verb,3,6
suggest,提案する,verb,3,6
recommend,推薦する,verb,3,6
propose,提案する,verb,3,6
argue,主張する,verb,3,6
claim,主張する,verb,3,6
prove,証明する,verb,3,6
show,示す,verb,3,6
demonstrate,実証する,verb,3,6
indicate,示す,verb,3,6
mean,意味する,verb,3,6
refer,言及する,verb,3,6
important,重要な,adjective,3,6
significant,重要な,adjective,3,6
clear,明確な,adjective,3,6
obvious,明らかな,adjective,3,6
possible,可能な,adjective,3,6
likely,ありそうな,adjective,3,6
unlikely,ありそうにない,adjective,3,6
certain,確かな,adjective,3,6
uncertain,不確かな,adjective,3,6
various,様々な,adjective,3,6
different,異なる,adjective,3,6
similar,似ている,adjective,3,6
same,同じ,adjective,3,6
